Ministry,Department,URL,url_2,url_3,lookup_status,lookup_error
"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Tourism Promotion Bureau,sltda.gov.lk,,,ok,
Minister of Health and Mass Media,1990 Suwaseriya Foundation,1990.lk,srilankalaw.lk,parliament.lk,ok,
Minister of Health and Mass Media,"All National, Teaching and Specific Government Hospitals",health.gov.lk,previousmoh.health.gov.lk,aialife.com.lk,ok,
Minister of Health and Mass Media,Ashraff Memorial Hospital,amhkalmunai.lk,link.lk,ampara.dist.gov.lk,ok,
Minister of Health and Mass Media,Associated Newspapers of Ceylon Ltd.,lakehouse.lk,media.gov.lk,parliament.lk,ok,
Minister of Health and Mass Media,Ayurveda Education and Hospital Board,apti.edu.lk,pgiimed.cmb.ac.lk,gamoa.lk,ok,
Minister of Health and Mass Media,Ayurveda Teaching and Research Hospitals,ayurveda.gov.lk,gamoa.lk,ayurveda.cp.gov.lk,ok,
Minister of Health and Mass Media,Ayurvedic Medical Council,slmc.gov.lk,parliament.lk,lankainformation.lk,ok,
Minister of Health and Mass Media,Department of Ayurveda,ayurveda.wp.gov.lk,cp.gov.lk,fim.cmb.ac.lk,ok,
Minister of Health and Mass Media,Department of Government Information,dgi.gov.lk,media.gov.lk,gov.lk,ok,
Minister of Health and Mass Media,Department of Government Printing,media.gov.lk,documents.gov.lk,sinhala.media.gov.lk,ok,
Minister of Health and Mass Media,Department of Health Services,health.gov.lk,healthdept.wp.gov.lk,gazette.lk,ok,
Minister of Health and Mass Media,"Homeopathy Hospital, Welisara",parliament.lk,newswire.lk,slhmc.lk,ok,
Minister of Health and Mass Media,Homeopathy Medical Council,slhmc.lk,parliament.lk,slmc.gov.lk,ok,
Minister of Health and Mass Media,Independent Television Network,itn.lk,media.gov.lk,ten.lk,ok,
